Algae,Rotifers,Eggs,Egg_Ratio,Dead_Rotifers,Time
10.0,7.065158811031415,1.0,0.4619201548422557,1.0,0.0
30.0,13.13031762206283,0.0,0.0,2.0,1.0
93.0,0.0,0.0,0.0,0.0,2.0
71.0,0.0,1.0,0.9999998351238828,1.0,3.0
74.0,0.0,0.0,0.0,1.0,4.0
88.0,0.0,0.0,0.0,0.0,5.0
88.0,0.0,0.0,0.0,1.0,6.0
86.0,0.0,0.0,0.0,1.0,7.0
78.0,0.0,0.0,0.0,0.0,8.0
60.0,1.0,0.0,0.0,0.0,9.0
98.0,6.065158811031415,0.0,0.0,0.0,10.0
94.0,0.0,0.0,0.0,1.0,11.0
79.0,1.0,0.0,0.0,1.0,12.0
87.0,0.0,0.0,0.0,0.0,13.0
89.0,0.0,0.0,0.0,0.0,14.0
61.0,6.065158811031415,1.0,0.4999999587809673,0.0,15.0
81.0,0.0,0.0,0.0,0.0,16.0
81.0,2.0,0.0,0.0,1.0,17.0
93.0,0.0,0.0,0.0,0.0,18.0
89.0,0.0,0.0,0.0,0.0,19.0
84.0,6.065158811031415,0.0,0.0,0.0,20.0
80.0,7.065158811031415,1.0,0.4619201548422557,0.0,21.0
87.0,1.0,0.0,0.0,3.0,22.0
71.0,6.065158811031415,0.0,0.0,1.0,23.0
80.0,7.065158811031415,0.0,0.0,2.0,24.0
80.0,1.0,0.0,0.0,0.0,25.0
63.0,0.0,0.0,0.0,0.0,26.0
76.0,0.0,0.0,0.0,0.0,27.0
61.0,1.0,0.0,0.0,0.0,28.0
92.0,1.0,1.0,0.8584602433990783,0.0,29.0
74.0,1.0,0.0,0.0,1.0,30.0
78.0,10.065158811031415,0.0,0.0,2.0,31.0
65.0,1.0,1.0,0.8584602433990783,1.0,32.0
63.0,3.0,1.0,0.6690625358474882,0.0,33.0
60.0,2.0,0.0,0.0,2.0,34.0
59.0,8.065158811031415,0.0,0.0,2.0,35.0
59.0,1.0,0.0,0.0,0.0,36.0
66.0,9.065158811031415,0.0,0.0,0.0,37.0
62.0,9.065158811031415,0.0,0.0,0.0,38.0
56.0,8.065158811031415,0.0,0.0,1.0,39.0
73.0,17.13031762206283,0.0,0.0,2.0,40.0
50.0,9.0,1.0,0.4025950528974955,1.0,41.0
35.0,10.065158811031415,1.0,0.376009857780216,1.0,42.0
56.0,9.065158811031415,0.0,0.0,2.0,43.0
57.0,11.065158811031415,0.0,0.0,1.0,44.0
43.0,7.065158811031415,2.0,0.6319362289551276,1.0,45.0
46.0,4.0,0.0,0.0,2.0,46.0
38.0,1.0,0.0,0.0,0.0,47.0
48.0,18.13031762206283,0.0,0.0,3.0,48.0
37.0,2.0,2.0,0.8584603041521489,2.0,49.0
43.0,4.0,4.0,0.8584603345286873,0.0,50.0
36.0,7.065158811031415,1.0,0.4619201548422557,2.0,51.0
34.0,16.13031762206283,0.0,0.0,0.0,52.0
32.0,3.0,0.0,0.0,2.0,53.0
40.0,11.065158811031415,1.0,0.3540598949058572,1.0,54.0
28.0,14.13031762206283,1.0,0.30032262575246005,3.0,55.0
36.0,13.065158811031415,2.0,0.48144821443747143,4.0,56.0
24.0,25.26063524412566,1.0,0.19361547888416403,1.0,57.0
29.0,11.065158811031415,1.0,0.3540598949058572,5.0,58.0
35.0,6.0,2.0,0.6690625727504543,4.0,59.0
25.0,15.13031762206283,2.0,0.4449755872692358,2.0,60.0
22.0,7.065158811031415,2.0,0.6319362289551276,3.0,61.0
26.0,7.065158811031415,1.0,0.4619201548422557,3.0,62.0
25.0,4.0,2.0,0.752019715560432,3.0,63.0
24.0,8.0,1.0,0.43121862051467513,3.0,64.0
22.0,15.13031762206283,2.0,0.4449755872692358,1.0,65.0
28.0,18.13031762206283,1.0,0.25067324370031124,3.0,66.0
33.0,17.13031762206283,2.0,0.414560965826507,3.0,67.0
36.0,13.065158811031415,2.0,0.48144821443747143,2.0,68.0
26.0,22.195476433094242,0.0,0.0,2.0,69.0
34.0,7.0,0.0,0.0,4.0,70.0
37.0,6.065158811031415,1.0,0.4999999587809673,5.0,71.0
21.0,8.0,0.0,0.0,5.0,72.0
29.0,16.13031762206283,1.0,0.27326102037291833,3.0,73.0
21.0,24.195476433094242,1.0,0.2004306440254974,3.0,74.0
