Algae,Rotifers,Eggs,Egg_Ratio,Dead_Rotifers,Time
10.0,7.571354667198857,1.0,0.4646460623050516,1.0,0.0
11.0,1.0,2.0,0.9292921246101032,1.0,1.0
15.0,6.571354667198857,0.0,0.0,2.0,2.0
22.0,0.0,0.0,0.0,0.0,3.0
58.0,0.0,0.0,0.0,0.0,4.0
95.0,0.0,0.0,0.0,0.0,5.0
56.0,0.0,0.0,0.0,0.0,6.0
64.0,0.0,0.0,0.0,0.0,7.0
74.0,6.571354667198857,0.0,0.0,0.0,8.0
55.0,0.0,0.0,0.0,0.0,9.0
52.0,1.0,2.0,0.9292921246101032,0.0,10.0
65.0,0.0,0.0,0.0,0.0,11.0
68.0,1.0,0.0,0.0,0.0,12.0
68.0,1.0,0.0,0.0,1.0,13.0
55.0,6.571354667198857,0.0,0.0,0.0,14.0
69.0,0.0,0.0,0.0,0.0,15.0
53.0,3.0,0.0,0.0,0.0,16.0
38.0,6.571354667198857,0.0,0.0,0.0,17.0
43.0,6.571354667198857,1.0,0.4999999619560968,0.0,18.0
51.0,3.0,0.0,0.0,1.0,19.0
39.0,9.571354667198857,1.0,0.4070787699879789,0.0,20.0
39.0,1.0,0.0,0.0,1.0,21.0
37.0,2.0,1.0,0.7666645653669852,1.0,22.0
22.0,8.571354667198857,0.0,0.0,0.0,23.0
24.0,4.0,0.0,0.0,1.0,24.0
26.0,6.571354667198857,0.0,0.0,1.0,25.0
30.0,0.0,0.0,0.0,2.0,26.0
14.0,2.0,0.0,0.0,0.0,27.0
21.0,6.571354667198857,0.0,0.0,2.0,28.0
19.0,1.0,0.0,0.0,1.0,29.0
21.0,1.0,1.0,0.8679231244766017,1.0,30.0
16.0,2.0,0.0,0.0,1.0,31.0
16.0,2.0,1.0,0.7666645653669852,2.0,32.0
18.0,1.0,0.0,0.0,1.0,33.0
23.0,2.0,0.0,0.0,0.0,34.0
25.0,0.0,0.0,0.0,1.0,35.0
17.0,7.571354667198857,1.0,0.4646460623050516,0.0,36.0
16.0,9.571354667198857,0.0,0.0,1.0,37.0
14.0,3.0,1.0,0.6865646723085387,2.0,38.0
13.0,2.0,2.0,0.8679231817928355,0.0,39.0
22.0,0.0,0.0,0.0,1.0,40.0
21.0,15.142709334397715,0.0,0.0,1.0,41.0
22.0,21.714064001596572,0.0,0.0,0.0,42.0
19.0,15.142709334397715,0.0,0.0,0.0,43.0
31.0,2.0,1.0,0.7666645653669852,0.0,44.0
23.0,7.571354667198857,0.0,0.0,3.0,45.0
18.0,0.0,0.0,0.0,1.0,46.0
18.0,4.0,1.0,0.6216189175801424,1.0,47.0
22.0,0.0,0.0,0.0,0.0,48.0
24.0,0.0,0.0,0.0,0.0,49.0
20.0,0.0,0.0,0.0,0.0,50.0
18.0,2.0,0.0,0.0,1.0,51.0
19.0,4.0,1.0,0.6216189175801424,1.0,52.0
18.0,3.0,1.0,0.6865646723085387,0.0,53.0
15.0,2.0,1.0,0.7666645653669852,2.0,54.0
21.0,3.0,0.0,0.0,0.0,55.0
21.0,2.0,0.0,0.0,3.0,56.0
24.0,16.142709334397715,0.0,0.0,2.0,57.0
25.0,4.0,1.0,0.6216189175801424,0.0,58.0
26.0,15.142709334397715,1.0,0.30263125152824605,0.0,59.0
18.0,13.142709334397715,1.0,0.33333331642493147,1.0,60.0
21.0,2.0,1.0,0.7666645653669852,0.0,61.0
25.0,2.0,0.0,0.0,1.0,62.0
