Algae,Rotifers,Eggs,Egg_Ratio,Dead_Rotifers,Time
10.0,5.6167088952028195,1.0,0.4511404243058267,1.0,0.0
25.0,1.0,1.0,0.8219596492149093,2.0,1.0
56.0,2.0,0.0,0.0,0.0,2.0
51.0,5.6167088952028195,1.0,0.4511404243058267,2.0,3.0
41.0,3.0,1.0,0.6061290187920285,0.0,4.0
29.0,5.6167088952028195,1.0,0.4511404243058267,0.0,5.0
16.0,2.0,1.0,0.6977348211306619,2.0,6.0
2.0,2.0,0.0,0.0,2.0,7.0
4.0,6.0,0.0,0.0,3.0,8.0
5.0,8.61670889520282,4.0,0.6818470497950866,1.0,9.0
2.0,9.61670889520282,2.0,0.4898331695363047,2.0,10.0
12.0,8.61670889520282,0.0,0.0,2.0,11.0
9.0,5.0,1.0,0.4800715572698943,3.0,12.0
12.0,5.6167088952028195,1.0,0.4511404243058267,7.0,13.0
8.0,5.0,2.0,0.6487139826609778,3.0,14.0
3.0,5.0,1.0,0.4800715572698943,1.0,15.0
10.0,1.0,1.0,0.8219596492149093,1.0,16.0
10.0,3.0,2.0,0.7547700237032002,4.0,17.0
11.0,3.0,2.0,0.7547700237032002,4.0,18.0
7.0,10.61670889520282,1.0,0.30306452929072825,2.0,19.0
8.0,12.233417790405639,0.0,0.0,3.0,20.0
6.0,3.0,0.0,0.0,2.0,21.0
5.0,1.0,1.0,0.8219596492149093,6.0,22.0
7.0,5.0,0.0,0.0,8.0,23.0
7.0,6.6167088952028195,1.0,0.4109798611929174,5.0,24.0
9.0,10.233417790405639,1.0,0.310886814776479,4.0,25.0
12.0,1.0,1.0,0.8219596492149093,3.0,26.0
6.0,5.0,4.0,0.7869333183114899,2.0,27.0
11.0,5.6167088952028195,0.0,0.0,1.0,28.0
8.0,16.85012668560846,0.0,0.0,7.0,29.0
12.0,8.61670889520282,2.0,0.5172746073883839,4.0,30.0
9.0,11.233417790405639,0.0,0.0,3.0,31.0
4.0,7.0,0.0,0.0,3.0,32.0
10.0,8.61670889520282,1.0,0.3488674369279373,2.0,33.0
8.0,4.0,2.0,0.6977348738558746,6.0,34.0
7.0,10.61670889520282,1.0,0.30306452929072825,5.0,35.0
7.0,7.6167088952028195,1.0,0.3773850118516001,6.0,36.0
7.0,6.0,1.0,0.43485307037436227,3.0,37.0
4.0,14.233417790405639,1.0,0.24491658476815234,1.0,38.0
5.0,10.61670889520282,0.0,0.0,1.0,39.0
3.0,0.0,0.0,0.0,3.0,40.0
5.0,3.0,3.0,0.8219597467761461,5.0,41.0
9.0,4.0,1.0,0.5357855784112078,2.0,42.0
8.0,8.61670889520282,0.0,0.0,6.0,43.0
5.0,14.233417790405639,1.0,0.24491658476815234,5.0,44.0
9.0,8.61670889520282,0.0,0.0,2.0,45.0
10.0,8.61670889520282,0.0,0.0,1.0,46.0
7.0,6.6167088952028195,0.0,0.0,5.0,47.0
6.0,3.0,0.0,0.0,7.0,48.0
4.0,13.233417790405639,0.0,0.0,2.0,49.0
7.0,11.233417790405639,1.0,0.2912726627050886,5.0,50.0
8.0,11.233417790405639,0.0,0.0,1.0,51.0
9.0,1.0,1.0,0.8219596492149093,2.0,52.0
7.0,4.0,0.0,0.0,1.0,53.0
9.0,7.6167088952028195,1.0,0.3773850118516001,5.0,54.0
6.0,2.0,1.0,0.6977348211306619,5.0,55.0
6.0,12.61670889520282,1.0,0.2678928047505629,3.0,56.0
8.0,5.6167088952028195,0.0,0.0,1.0,57.0
3.0,8.61670889520282,3.0,0.6164698192284768,1.0,58.0
5.0,5.6167088952028195,1.0,0.4511404243058267,6.0,59.0
13.0,10.61670889520282,0.0,0.0,0.0,60.0
7.0,4.0,0.0,0.0,3.0,61.0
3.0,11.233417790405639,1.0,0.2912726627050886,0.0,62.0
5.0,2.0,1.0,0.6977348211306619,3.0,63.0
8.0,8.61670889520282,1.0,0.3488674369279373,3.0,64.0
8.0,2.0,1.0,0.6977348211306619,5.0,65.0
10.0,1.0,0.0,0.0,1.0,66.0
5.0,13.233417790405639,2.0,0.4109798794856512,3.0,67.0
4.0,9.61670889520282,1.0,0.3243569913304889,4.0,68.0
3.0,10.61670889520282,0.0,0.0,3.0,69.0
8.0,5.0,0.0,0.0,2.0,70.0
8.0,2.0,0.0,0.0,3.0,71.0
7.0,7.6167088952028195,3.0,0.6451871300864503,3.0,72.0
6.0,4.0,0.0,0.0,4.0,73.0
9.0,9.61670889520282,0.0,0.0,6.0,74.0
12.0,9.61670889520282,3.0,0.5901999887336175,4.0,75.0
2.0,7.6167088952028195,0.0,0.0,2.0,76.0
6.0,11.61670889520282,0.0,0.0,5.0,77.0
6.0,12.233417790405639,0.0,0.0,3.0,78.0
7.0,2.0,0.0,0.0,1.0,79.0
7.0,2.0,0.0,0.0,1.0,80.0
8.0,6.6167088952028195,0.0,0.0,1.0,81.0
9.0,7.0,1.0,0.39741965985647226,2.0,82.0
8.0,8.0,0.0,0.0,2.0,83.0
7.0,8.61670889520282,1.0,0.3488674369279373,2.0,84.0
8.0,11.61670889520282,1.0,0.28439535471920496,3.0,85.0
10.0,7.6167088952028195,2.0,0.5479731645174307,4.0,86.0
9.0,3.0,0.0,0.0,1.0,87.0
8.0,6.6167088952028195,1.0,0.4109798611929174,4.0,88.0
7.0,5.0,0.0,0.0,2.0,89.0
3.0,10.61670889520282,4.0,0.6349581964152659,5.0,90.0
8.0,16.85012668560846,1.0,0.21506237669548345,4.0,91.0
5.0,4.0,0.0,0.0,3.0,92.0
8.0,9.61670889520282,0.0,0.0,7.0,93.0
4.0,11.233417790405639,0.0,0.0,2.0,94.0
7.0,5.0,1.0,0.4800715572698943,3.0,95.0
9.0,5.0,0.0,0.0,3.0,96.0
6.0,6.0,1.0,0.43485307037436227,3.0,97.0
7.0,3.0,0.0,0.0,3.0,98.0
8.0,6.0,0.0,0.0,6.0,99.0
8.0,5.6167088952028195,1.0,0.4511404243058267,3.0,100.0
11.0,6.0,0.0,0.0,6.0,101.0
12.0,4.0,0.0,0.0,4.0,102.0
8.0,2.0,0.0,0.0,1.0,103.0
7.0,4.0,2.0,0.6977348738558746,4.0,104.0
5.0,5.0,0.0,0.0,5.0,105.0
8.0,5.0,0.0,0.0,3.0,106.0
5.0,7.6167088952028195,1.0,0.3773850118516001,2.0,107.0
6.0,9.61670889520282,0.0,0.0,3.0,108.0
5.0,3.0,0.0,0.0,1.0,109.0
13.0,12.233417790405639,1.0,0.27398658225871536,6.0,110.0
5.0,4.0,0.0,0.0,8.0,111.0
7.0,6.0,1.0,0.43485307037436227,7.0,112.0
