Algae,Rotifers,Eggs,Egg_Ratio,Dead_Rotifers,Time
10.0,6.855398523140531,1.0,0.46066332749686867,1.0,0.0
24.0,0.0,0.0,0.0,1.0,1.0
56.0,0.0,0.0,0.0,1.0,2.0
65.0,0.0,0.0,0.0,0.0,3.0
75.0,0.0,0.0,0.0,0.0,4.0
59.0,0.0,0.0,0.0,0.0,5.0
83.0,1.0,0.0,0.0,0.0,6.0
78.0,0.0,0.0,0.0,0.0,7.0
75.0,0.0,0.0,0.0,0.0,8.0
81.0,0.0,0.0,0.0,0.0,9.0
85.0,0.0,0.0,0.0,0.0,10.0
87.0,0.0,0.0,0.0,0.0,11.0
85.0,0.0,0.0,0.0,0.0,12.0
79.0,0.0,0.0,0.0,0.0,13.0
92.0,0.0,0.0,0.0,0.0,14.0
79.0,0.0,0.0,0.0,0.0,15.0
87.0,0.0,0.0,0.0,0.0,16.0
97.0,0.0,0.0,0.0,0.0,17.0
93.0,0.0,0.0,0.0,0.0,18.0
85.0,0.0,0.0,0.0,0.0,19.0
106.0,0.0,0.0,0.0,0.0,20.0
103.0,0.0,0.0,0.0,1.0,21.0
106.0,0.0,0.0,0.0,0.0,22.0
109.0,0.0,0.0,0.0,0.0,23.0
107.0,0.0,0.0,0.0,0.0,24.0
127.0,0.0,0.0,0.0,0.0,25.0
99.0,0.0,0.0,0.0,0.0,26.0
108.0,0.0,0.0,0.0,0.0,27.0
118.0,0.0,0.0,0.0,0.0,28.0
112.0,0.0,0.0,0.0,0.0,29.0
127.0,0.0,0.0,0.0,0.0,30.0
130.0,0.0,0.0,0.0,0.0,31.0
122.0,0.0,0.0,0.0,0.0,32.0
114.0,0.0,0.0,0.0,0.0,33.0
122.0,0.0,0.0,0.0,0.0,34.0
112.0,0.0,0.0,0.0,0.0,35.0
124.0,0.0,0.0,0.0,0.0,36.0
142.0,0.0,0.0,0.0,0.0,37.0
133.0,0.0,0.0,0.0,0.0,38.0
158.0,0.0,0.0,0.0,0.0,39.0
137.0,0.0,0.0,0.0,0.0,40.0
146.0,0.0,0.0,0.0,0.0,41.0
150.0,0.0,0.0,0.0,0.0,42.0
117.0,0.0,0.0,0.0,0.0,43.0
145.0,0.0,0.0,0.0,0.0,44.0
147.0,0.0,0.0,0.0,0.0,45.0
133.0,0.0,0.0,0.0,0.0,46.0
162.0,0.0,0.0,0.0,0.0,47.0
159.0,0.0,0.0,0.0,0.0,48.0
160.0,0.0,0.0,0.0,0.0,49.0
158.0,0.0,0.0,0.0,0.0,50.0
155.0,0.0,0.0,0.0,0.0,51.0
177.0,0.0,0.0,0.0,0.0,52.0
203.0,0.0,0.0,0.0,0.0,53.0
175.0,0.0,0.0,0.0,0.0,54.0
166.0,0.0,0.0,0.0,0.0,55.0
169.0,0.0,0.0,0.0,0.0,56.0
179.0,0.0,0.0,0.0,0.0,57.0
182.0,0.0,0.0,0.0,0.0,58.0
193.0,0.0,0.0,0.0,0.0,59.0
200.0,0.0,0.0,0.0,0.0,60.0
194.0,0.0,0.0,0.0,0.0,61.0
203.0,0.0,0.0,0.0,0.0,62.0
189.0,0.0,0.0,0.0,0.0,63.0
217.0,0.0,0.0,0.0,0.0,64.0
215.0,0.0,0.0,0.0,0.0,65.0
216.0,0.0,0.0,0.0,0.0,66.0
216.0,0.0,0.0,0.0,0.0,67.0
227.0,0.0,0.0,0.0,0.0,68.0
232.0,0.0,0.0,0.0,0.0,69.0
262.0,0.0,0.0,0.0,0.0,70.0
237.0,0.0,0.0,0.0,0.0,71.0
233.0,0.0,0.0,0.0,0.0,72.0
254.0,0.0,0.0,0.0,0.0,73.0
229.0,0.0,0.0,0.0,0.0,74.0
242.0,0.0,0.0,0.0,0.0,75.0
276.0,0.0,0.0,0.0,0.0,76.0
279.0,0.0,0.0,0.0,0.0,77.0
265.0,0.0,0.0,0.0,0.0,78.0
277.0,0.0,0.0,0.0,0.0,79.0
327.0,0.0,0.0,0.0,0.0,80.0
324.0,0.0,0.0,0.0,0.0,81.0
277.0,0.0,0.0,0.0,0.0,82.0
297.0,0.0,0.0,0.0,0.0,83.0
295.0,0.0,0.0,0.0,0.0,84.0
316.0,0.0,0.0,0.0,0.0,85.0
296.0,0.0,0.0,0.0,0.0,86.0
308.0,0.0,0.0,0.0,0.0,87.0
327.0,0.0,0.0,0.0,0.0,88.0
334.0,0.0,0.0,0.0,0.0,89.0
296.0,0.0,0.0,0.0,0.0,90.0
320.0,0.0,0.0,0.0,0.0,91.0
333.0,0.0,0.0,0.0,0.0,92.0
406.0,0.0,0.0,0.0,0.0,93.0
338.0,0.0,0.0,0.0,0.0,94.0
360.0,0.0,0.0,0.0,0.0,95.0
351.0,0.0,0.0,0.0,0.0,96.0
342.0,0.0,0.0,0.0,0.0,97.0
387.0,0.0,0.0,0.0,0.0,98.0
372.0,0.0,0.0,0.0,0.0,99.0
388.0,0.0,0.0,0.0,0.0,100.0
421.0,0.0,0.0,0.0,0.0,101.0
355.0,0.0,0.0,0.0,0.0,102.0
370.0,0.0,0.0,0.0,0.0,103.0
403.0,0.0,0.0,0.0,0.0,104.0
409.0,0.0,0.0,0.0,0.0,105.0
407.0,0.0,0.0,0.0,0.0,106.0
395.0,0.0,0.0,0.0,0.0,107.0
424.0,0.0,0.0,0.0,0.0,108.0
417.0,0.0,0.0,0.0,0.0,109.0
444.0,0.0,0.0,0.0,0.0,110.0
466.0,0.0,0.0,0.0,0.0,111.0
488.0,0.0,0.0,0.0,0.0,112.0
493.0,0.0,0.0,0.0,0.0,113.0
503.0,0.0,0.0,0.0,0.0,114.0
533.0,0.0,0.0,0.0,0.0,115.0
471.0,0.0,0.0,0.0,0.0,116.0
477.0,0.0,0.0,0.0,0.0,117.0
461.0,0.0,0.0,0.0,0.0,118.0
516.0,0.0,0.0,0.0,0.0,119.0
484.0,0.0,0.0,0.0,0.0,120.0
551.0,0.0,0.0,0.0,0.0,121.0
546.0,0.0,0.0,0.0,0.0,122.0
501.0,0.0,0.0,0.0,0.0,123.0
527.0,0.0,0.0,0.0,0.0,124.0
550.0,0.0,0.0,0.0,0.0,125.0
568.0,0.0,0.0,0.0,0.0,126.0
621.0,0.0,0.0,0.0,0.0,127.0
590.0,0.0,0.0,0.0,0.0,128.0
592.0,0.0,0.0,0.0,0.0,129.0
604.0,0.0,0.0,0.0,0.0,130.0
619.0,0.0,0.0,0.0,0.0,131.0
610.0,0.0,0.0,0.0,0.0,132.0
667.0,0.0,0.0,0.0,0.0,133.0
681.0,0.0,0.0,0.0,0.0,134.0
