Algae,Rotifers,Eggs,Egg_Ratio,Dead_Rotifers,Time
10.0,7.143740181401636,1.0,0.46237055869747506,1.0,0.0
45.0,1.0,0.0,0.0,1.0,1.0
87.0,0.0,0.0,0.0,0.0,2.0
93.0,1.0,0.0,0.0,0.0,3.0
79.0,0.0,0.0,0.0,0.0,4.0
67.0,0.0,0.0,0.0,1.0,5.0
79.0,0.0,0.0,0.0,1.0,6.0
94.0,0.0,0.0,0.0,0.0,7.0
94.0,0.0,0.0,0.0,0.0,8.0
116.0,2.0,0.0,0.0,0.0,9.0
90.0,0.0,0.0,0.0,1.0,10.0
104.0,0.0,0.0,0.0,0.0,11.0
108.0,0.0,0.0,0.0,0.0,12.0
102.0,0.0,0.0,0.0,0.0,13.0
138.0,0.0,0.0,0.0,0.0,14.0
136.0,0.0,0.0,0.0,0.0,15.0
147.0,1.0,0.0,0.0,0.0,16.0
152.0,0.0,0.0,0.0,0.0,17.0
173.0,0.0,0.0,0.0,0.0,18.0
160.0,6.143740181401636,0.0,0.0,0.0,19.0
162.0,0.0,0.0,0.0,0.0,20.0
182.0,0.0,0.0,0.0,0.0,21.0
200.0,0.0,0.0,0.0,0.0,22.0
201.0,0.0,0.0,0.0,0.0,23.0
223.0,0.0,0.0,0.0,0.0,24.0
210.0,0.0,0.0,0.0,0.0,25.0
220.0,0.0,0.0,0.0,0.0,26.0
231.0,0.0,0.0,0.0,0.0,27.0
233.0,0.0,0.0,0.0,0.0,28.0
244.0,6.143740181401636,0.0,0.0,0.0,29.0
219.0,0.0,0.0,0.0,0.0,30.0
266.0,0.0,0.0,0.0,0.0,31.0
248.0,0.0,0.0,0.0,0.0,32.0
307.0,0.0,0.0,0.0,0.0,33.0
342.0,0.0,0.0,0.0,0.0,34.0
348.0,0.0,0.0,0.0,0.0,35.0
331.0,0.0,0.0,0.0,0.0,36.0
372.0,0.0,0.0,0.0,0.0,37.0
419.0,0.0,0.0,0.0,0.0,38.0
432.0,0.0,0.0,0.0,1.0,39.0
453.0,0.0,0.0,0.0,0.0,40.0
461.0,0.0,0.0,0.0,1.0,41.0
492.0,0.0,0.0,0.0,0.0,42.0
520.0,0.0,0.0,0.0,1.0,43.0
546.0,0.0,0.0,0.0,0.0,44.0
567.0,0.0,0.0,0.0,1.0,45.0
573.0,0.0,0.0,0.0,1.0,46.0
609.0,0.0,0.0,0.0,0.0,47.0
627.0,0.0,0.0,0.0,0.0,48.0
728.0,0.0,0.0,0.0,0.0,49.0
699.0,0.0,0.0,0.0,0.0,50.0
754.0,0.0,0.0,0.0,0.0,51.0
780.0,0.0,0.0,0.0,0.0,52.0
867.0,0.0,0.0,0.0,0.0,53.0
907.0,1.0,0.0,0.0,0.0,54.0
988.0,0.0,1.0,0.9999998372327267,0.0,55.0
1015.0,0.0,0.0,0.0,0.0,56.0
1020.0,0.0,0.0,0.0,0.0,57.0
1055.0,0.0,0.0,0.0,0.0,58.0
1016.0,1.0,0.0,0.0,0.0,59.0
1132.0,0.0,0.0,0.0,0.0,60.0
1254.0,0.0,0.0,0.0,1.0,61.0
1307.0,0.0,0.0,0.0,0.0,62.0
1429.0,0.0,0.0,0.0,0.0,63.0
1418.0,0.0,0.0,0.0,0.0,64.0
1429.0,0.0,0.0,0.0,0.0,65.0
1421.0,0.0,0.0,0.0,0.0,66.0
1603.0,0.0,0.0,0.0,0.0,67.0
1650.0,0.0,0.0,0.0,0.0,68.0
1797.0,0.0,0.0,0.0,0.0,69.0
1875.0,0.0,0.0,0.0,0.0,70.0
1987.0,0.0,0.0,0.0,0.0,71.0
2115.0,1.0,0.0,0.0,0.0,72.0
2238.0,0.0,0.0,0.0,1.0,73.0
2431.0,0.0,0.0,0.0,0.0,74.0
2593.0,1.0,0.0,0.0,0.0,75.0
2770.0,0.0,0.0,0.0,0.0,76.0
2901.0,1.0,0.0,0.0,0.0,77.0
3119.0,0.0,0.0,0.0,0.0,78.0
3273.0,0.0,0.0,0.0,0.0,79.0
3348.0,0.0,0.0,0.0,0.0,80.0
3703.0,0.0,0.0,0.0,0.0,81.0
3813.0,0.0,0.0,0.0,0.0,82.0
4020.0,0.0,0.0,0.0,0.0,83.0
4323.0,1.0,0.0,0.0,0.0,84.0
4666.0,0.0,0.0,0.0,0.0,85.0
4703.0,0.0,0.0,0.0,0.0,86.0
5046.0,0.0,0.0,0.0,0.0,87.0
5575.0,0.0,0.0,0.0,0.0,88.0
5653.0,0.0,0.0,0.0,0.0,89.0
6105.0,0.0,0.0,0.0,0.0,90.0
6485.0,0.0,0.0,0.0,0.0,91.0
6512.0,0.0,0.0,0.0,0.0,92.0
6676.0,0.0,0.0,0.0,1.0,93.0
6885.0,0.0,0.0,0.0,0.0,94.0
6903.0,0.0,0.0,0.0,0.0,95.0
7164.0,0.0,0.0,0.0,0.0,96.0
7144.0,0.0,0.0,0.0,0.0,97.0
7518.0,0.0,1.0,0.9999998372327267,0.0,98.0
7931.0,0.0,0.0,0.0,0.0,99.0
8150.0,0.0,0.0,0.0,0.0,100.0
8713.0,0.0,0.0,0.0,0.0,101.0
9275.0,0.0,0.0,0.0,0.0,102.0
10030.0,0.0,0.0,0.0,0.0,103.0
10536.0,6.143740181401636,0.0,0.0,0.0,104.0
10876.0,0.0,0.0,0.0,0.0,105.0
11493.0,0.0,0.0,0.0,0.0,106.0
11967.0,0.0,0.0,0.0,0.0,107.0
12903.0,1.0,0.0,0.0,0.0,108.0
13455.0,0.0,0.0,0.0,0.0,109.0
14274.0,0.0,0.0,0.0,1.0,110.0
14576.0,0.0,0.0,0.0,0.0,111.0
14999.0,0.0,0.0,0.0,0.0,112.0
15852.0,0.0,0.0,0.0,0.0,113.0
17250.0,0.0,0.0,0.0,0.0,114.0
18433.0,0.0,0.0,0.0,0.0,115.0
18524.0,0.0,0.0,0.0,0.0,116.0
18896.0,0.0,0.0,0.0,0.0,117.0
19740.0,0.0,0.0,0.0,0.0,118.0
20276.0,0.0,0.0,0.0,0.0,119.0
21478.0,1.0,0.0,0.0,0.0,120.0
22061.0,0.0,0.0,0.0,0.0,121.0
22991.0,0.0,0.0,0.0,0.0,122.0
24721.0,0.0,0.0,0.0,0.0,123.0
25288.0,0.0,0.0,0.0,0.0,124.0
25826.0,0.0,0.0,0.0,0.0,125.0
27897.0,0.0,0.0,0.0,0.0,126.0
29427.0,0.0,0.0,0.0,0.0,127.0
31244.0,0.0,0.0,0.0,0.0,128.0
33429.0,0.0,0.0,0.0,0.0,129.0
35873.0,0.0,0.0,0.0,0.0,130.0
37743.0,0.0,0.0,0.0,0.0,131.0
39587.0,0.0,0.0,0.0,0.0,132.0
41824.0,0.0,0.0,0.0,1.0,133.0
43847.0,1.0,0.0,0.0,1.0,134.0
46223.0,0.0,0.0,0.0,0.0,135.0
49937.0,0.0,0.0,0.0,0.0,136.0
51372.0,0.0,0.0,0.0,0.0,137.0
54660.0,0.0,0.0,0.0,0.0,138.0
59324.0,0.0,0.0,0.0,0.0,139.0
63032.0,0.0,0.0,0.0,0.0,140.0
67453.0,0.0,0.0,0.0,0.0,141.0
69618.0,0.0,0.0,0.0,0.0,142.0
70590.0,0.0,0.0,0.0,0.0,143.0
74691.0,0.0,0.0,0.0,0.0,144.0
77730.0,0.0,0.0,0.0,0.0,145.0
80931.0,0.0,0.0,0.0,0.0,146.0
85394.0,0.0,0.0,0.0,0.0,147.0
86257.0,0.0,0.0,0.0,0.0,148.0
88712.0,0.0,0.0,0.0,0.0,149.0
96040.0,0.0,0.0,0.0,0.0,150.0
99052.0,0.0,0.0,0.0,0.0,151.0
104884.0,6.143740181401636,0.0,0.0,0.0,152.0
110233.0,0.0,0.0,0.0,0.0,153.0
116546.0,0.0,0.0,0.0,0.0,154.0
122399.0,0.0,0.0,0.0,0.0,155.0
130078.0,0.0,0.0,0.0,0.0,156.0
139257.0,0.0,0.0,0.0,0.0,157.0
148839.0,6.143740181401636,0.0,0.0,0.0,158.0
160611.0,0.0,0.0,0.0,0.0,159.0
170527.0,0.0,0.0,0.0,0.0,160.0
