Algae,Rotifers,Eggs,Egg_Ratio,Dead_Rotifers,Time
10.0,7.78028540080203,1.0,0.4656606548964707,1.0,0.0
0.0,6.78028540080203,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,2.0
3.0,0.0,1.0,0.9999998525136047,0.0,3.0
50.0,1.0,0.0,0.0,1.0,4.0
70.0,6.78028540080203,0.0,0.0,0.0,5.0
71.0,0.0,0.0,0.0,0.0,6.0
85.0,0.0,0.0,0.0,0.0,7.0
97.0,0.0,0.0,0.0,1.0,8.0
102.0,0.0,0.0,0.0,0.0,9.0
64.0,0.0,0.0,0.0,0.0,10.0
67.0,0.0,0.0,0.0,0.0,11.0
48.0,0.0,0.0,0.0,0.0,12.0
43.0,0.0,0.0,0.0,0.0,13.0
14.0,0.0,0.0,0.0,0.0,14.0
18.0,1.0,0.0,0.0,1.0,15.0
30.0,1.0,0.0,0.0,1.0,16.0
21.0,2.0,1.0,0.7722168835156322,1.0,17.0
5.0,3.0,0.0,0.0,0.0,18.0
4.0,1.0,0.0,0.0,2.0,19.0
2.0,0.0,0.0,0.0,0.0,20.0
8.0,0.0,1.0,0.9999998525136047,0.0,21.0
24.0,6.78028540080203,0.0,0.0,0.0,22.0
41.0,0.0,1.0,0.9999998525136047,0.0,23.0
21.0,0.0,0.0,0.0,0.0,24.0
31.0,0.0,0.0,0.0,0.0,25.0
20.0,0.0,0.0,0.0,0.0,26.0
10.0,7.78028540080203,0.0,0.0,0.0,27.0
4.0,0.0,1.0,0.9999998525136047,1.0,28.0
3.0,1.0,0.0,0.0,2.0,29.0
13.0,1.0,0.0,0.0,0.0,30.0
28.0,0.0,0.0,0.0,0.0,31.0
32.0,6.78028540080203,1.0,0.4999999631283985,1.0,32.0
15.0,6.78028540080203,0.0,0.0,1.0,33.0
25.0,0.0,1.0,0.9999998525136047,2.0,34.0
15.0,14.56057080160406,0.0,0.0,0.0,35.0
14.0,6.78028540080203,0.0,0.0,1.0,36.0
2.0,0.0,0.0,0.0,0.0,37.0
2.0,7.78028540080203,1.0,0.4656606548964707,0.0,38.0
10.0,0.0,0.0,0.0,0.0,39.0
18.0,0.0,0.0,0.0,0.0,40.0
40.0,7.78028540080203,1.0,0.4656606548964707,1.0,41.0
23.0,14.56057080160406,0.0,0.0,0.0,42.0
16.0,1.0,0.0,0.0,2.0,43.0
25.0,8.780285400802029,0.0,0.0,0.0,44.0
5.0,6.78028540080203,0.0,0.0,4.0,45.0
0.0,0.0,0.0,0.0,0.0,46.0
2.0,2.0,0.0,0.0,1.0,47.0
8.0,0.0,0.0,0.0,0.0,48.0
27.0,0.0,0.0,0.0,2.0,49.0
28.0,0.0,0.0,0.0,0.0,50.0
19.0,1.0,0.0,0.0,0.0,51.0
14.0,6.78028540080203,1.0,0.4999999631283985,0.0,52.0
22.0,0.0,1.0,0.9999998525136047,0.0,53.0
9.0,13.56057080160406,0.0,0.0,1.0,54.0
3.0,1.0,0.0,0.0,1.0,55.0
3.0,1.0,0.0,0.0,0.0,56.0
7.0,1.0,1.0,0.8714698986020727,2.0,57.0
25.0,0.0,0.0,0.0,0.0,58.0
43.0,1.0,0.0,0.0,0.0,59.0
21.0,0.0,0.0,0.0,0.0,60.0
