time,algae,rotifers,egg-ratio,eggs,dead animals,external medium
113.0,1.1,10.64,0.64,6.82,0.4,80.0
114.0,0.73,23.68,0.31,7.42,0.8,80.0
115.0,0.4,16.66,0.16,2.61,0.4,80.0
116.0,1.03,15.85,0.58,9.23,1.4,80.0
117.0,0.66,25.28,0.32,8.03,0.8,80.0
118.0,0.33,18.66,0.17,3.21,0.8,80.0
119.0,0.84,17.06,1.0,17.06,0.6,80.0
120.0,0.46,34.52,0.1,3.61,0.4,80.0
121.0,0.56,10.84,0.52,5.62,1.0,80.0
122.0,0.85,12.64,0.79,10.03,0.8,80.0
123.0,0.71,19.06,0.54,10.23,0.2,80.0
124.0,0.3,12.24,0.08,1.0,0.8,80.0
125.0,0.39,10.84,0.72,7.83,0.6,80.0
126.0,0.7,13.65,0.81,11.04,0.4,80.0
127.0,1.12,22.27,0.87,19.47,1.0,80.0
128.0,0.44,36.52,0.08,2.81,0.8,80.0
129.0,0.4,16.45,0.24,4.01,1.61,80.0
130.0,0.3,12.84,0.25,3.21,2.21,80.0
131.0,0.48,13.65,0.46,6.22,0.4,80.0
132.0,0.62,18.66,0.88,16.45,0.6,80.0
133.0,1.85,34.715,0.495,10.934999999999999,0.8999999999999999,80.0
134.0,0.36,50.77,0.11,5.42,1.2,80.0
135.0,0.15,17.26,0.02,0.4,0.4,80.0
136.0,0.33,6.42,0.91,5.82,0.8,80.0
137.0,0.85,12.44,1.06,13.24,0.6,80.0
138.0,0.34,22.48,0.14,3.21,0.8,80.0
139.0,0.4,11.84,0.17,2.01,1.2,80.0
140.0,0.4,21.87,0.38,8.23,2.81,80.0
141.0,0.33,20.27,0.66,13.44,0.6,80.0
142.0,0.32,19.87,0.22,4.41,1.0,80.0
143.0,0.39,17.06,0.53,9.03,2.21,80.0
144.0,0.46,9.03,0.58,5.22,2.21,80.0
145.0,0.46,8.23,0.59,4.82,1.2,80.0
146.0,0.46,17.46,0.55,9.63,1.4,80.0
147.0,0.49,19.87,0.42,8.43,1.0,80.0
148.0,0.47,15.85,0.42,6.62,2.61,80.0
149.0,1.23,20.07,0.58,11.64,0.8,80.0
150.0,0.46,32.31,0.23,7.42,1.61,80.0
151.0,0.83,24.28,0.61,14.85,2.81,80.0
152.0,0.22,18.46,0.05,1.0,1.0,80.0
153.0,0.2,12.64,0.79,10.03,0.8,80.0
154.0,0.21,4.21,0.76,3.21,1.0,80.0
155.0,0.75,2.81,1.43,4.01,0.4,80.0
156.0,0.64,6.42,1.31,8.43,0.6,80.0
157.0,1.32,9.23,0.39,3.61,0.2,80.0
158.0,0.54,31.71,0.29,9.23,4.21,80.0
159.0,0.46,21.475,0.385,7.325,3.91,80.0
160.0,0.38,11.24,0.48,5.42,3.61,80.0
161.0,0.8,10.64,0.53,5.62,0.6,80.0
162.0,1.01,8.83,1.41,12.44,0.6,80.0
163.0,0.47,23.88,0.39,9.23,0.0,80.0
164.0,0.36,14.45,0.36,5.22,0.0,80.0
165.0,0.32,9.83,0.18,1.81,0.6,80.0
166.0,0.41,8.83,0.8,7.02,0.8,80.0
167.0,0.74,14.25,0.72,10.23,0.6,80.0
168.0,0.64,23.88,0.51,12.24,1.4,80.0
169.0,0.56,28.09,0.48,13.44,1.2,80.0
170.0,0.46,1.4,0.43,0.6,1.2,80.0
171.0,0.71,5.42,0.26,1.4,0.8,80.0
172.0,0.53,15.25,0.21,3.21,1.81,80.0
173.0,0.3,10.03,0.04,0.4,1.2,80.0
174.0,0.26,11.84,0.08,1.0,0.6,80.0
175.0,0.62,7.22,0.33,2.41,1.2,80.0
176.0,0.77,12.44,0.6,7.42,0.8,80.0
177.0,0.74,4.01,0.35,1.4,0.6,80.0
178.0,0.29,19.06,0.16,3.01,0.8,80.0
179.0,0.39,9.23,0.52,4.82,1.4,80.0
180.0,0.41,11.44,0.16,1.81,1.4,80.0
181.0,1.04,11.04,0.16,1.81,1.4,80.0
182.0,0.44,9.23,0.11,1.0,2.41,80.0
183.0,0.21,14.45,0.07,1.0,1.0,80.0
184.0,0.11,5.82,0.17,1.0,0.6,80.0
185.0,0.42,5.62,0.64,3.61,1.0,80.0
186.0,0.45,6.02,0.4,2.41,0.2,80.0
187.0,0.37,12.44,0.29,3.61,0.0,80.0
188.0,0.53,8.03,0.35,2.81,0.8,80.0
189.0,0.44,5.02,0.28,1.4,0.2,80.0
