time,algae,rotifers,egg-ratio,eggs,dead animals,external medium
0.0,1.23,7.42,0.03,0.2,0.0,80.0
1.03,0.63,11.535,0.13,1.9049999999999998,0.0,80.0
2.18,0.12,15.65,0.23,3.61,0.0,80.0
3.21,0.58,16.86,0.02,0.4,0.0,80.0
4.03,0.28,7.83,0.67,5.22,0.8,80.0
5.06,0.17,12.84,0.09,1.2,0.4,80.0
6.03,0.22,15.65,0.05,0.8,0.0,80.0
6.98,0.41,14.25,0.2,2.81,0.0,80.0
8.0,0.15,22.07,0.06,1.4,0.8,80.0
9.09,0.19,26.89,0.02,0.6,0.8,80.0
10.15,0.54,16.05,0.45,7.22,1.0,80.0
10.99,0.3,30.9,0.31,9.63,0.8,80.0
12.01,0.22,20.27,0.1,2.01,0.0,80.0
13.06,0.34,20.07,0.49,9.83,3.01,80.0
14.02,0.26,25.69,0.02,0.6,1.0,80.0
15.0,0.77,21.67,0.83,18.06,1.4,80.0
16.09,0.34,31.91,0.19,6.22,3.61,80.0
17.06,0.23,20.87,0.04,0.8,2.61,80.0
17.99,0.84,12.24,0.69,8.43,2.81,80.0
19.02,0.91,22.88,0.91,20.87,4.21,80.0
20.01,0.26,38.73,0.04,1.61,1.81,80.0
21.02,0.36,11.24,0.27,3.01,4.21,80.0
22.09,0.35,28.9,0.5,14.45,0.8,80.0
23.27,0.41,43.95,0.28,12.24,0.4,80.0
24.13,0.24,29.5,0.2,6.02,1.81,80.0
25.0,0.21,21.27,0.19,4.01,1.2,80.0
26.03,0.25,29.9,0.29,8.63,2.21,80.0
27.13,0.31,30.1,0.24,7.22,5.02,80.0
28.09,0.32,28.7,0.27,7.63,2.21,80.0
29.02,0.28,19.87,0.19,3.81,1.0,80.0
30.25,0.11,37.73,0.17,6.42,2.61,80.0
30.99,0.28,25.89,0.08,2.01,3.01,80.0
32.04,0.27,12.04,1.23,14.85,3.61,80.0
33.01,0.25,25.69,0.17,4.41,1.4,80.0
34.01,0.11,19.26,0.11,2.21,1.2,80.0
35.07,0.44,5.42,0.41,2.21,1.61,80.0
36.02,0.14,10.23,0.22,2.21,0.4,80.0
37.06,0.3,16.25,0.3,4.82,2.61,80.0
38.17,0.38,15.25,0.33,5.02,1.81,80.0
39.01,0.29,16.86,0.05,0.8,2.01,80.0
40.02,0.47,23.88,0.29,6.82,1.4,80.0
41.03,0.46,20.07,0.27,5.42,2.21,80.0
42.07,0.46,18.26,0.2,3.61,2.01,80.0
43.02,0.52,9.43,0.3,2.81,2.01,80.0
44.13,0.51,19.47,0.4,7.83,2.21,80.0
45.13,0.4,19.87,0.24,4.82,1.2,80.0
46.22,0.43,11.64,0.45,5.22,1.0,80.0
47.0,0.61,26.89,0.36,9.63,1.61,80.0
48.01,0.36,40.74,0.32,12.84,0.4,80.0
48.98,0.18,34.72,0.09,3.21,0.0,80.0
50.01,0.18,18.26,0.15,2.81,0.2,80.0
51.26,0.2,9.83,0.2,2.01,0.30000000000000004,80.0
52.13,0.28,7.22,0.11,0.8,0.4,80.0
52.99,0.82,5.02,0.44,2.21,2.21,80.0
54.03,0.38,10.23,0.59,6.02,0.4,80.0
55.0,0.39,15.25,0.49,7.42,0.0,80.0
56.17,0.27,30.7,0.14,4.21,0.4,80.0
57.11,0.31,28.7,0.08,2.21,0.0,80.0
58.18,0.4,16.25,0.14,2.21,0.8,80.0
59.11,0.24,8.83,0.05,0.4,1.61,80.0
60.05,0.23,2.61,0.46,1.2,0.4,80.0
60.99,0.53,10.23,0.59,6.02,1.2,80.0
62.05,1.13,18.26,0.87,15.85,4.41,80.0
63.03,0.67,42.94,0.21,8.83,1.4,80.0
64.02,0.36,36.72,0.18,6.62,2.61,80.0
65.09,0.23,26.89,0.14,3.81,1.81,80.0
66.15,0.16,13.44,0.06,0.8,2.21,80.0
67.02,0.25,4.41,0.55,2.41,1.0,80.0
67.98,0.93,6.62,0.7,4.62,9.03,80.0
68.95,0.94,11.24,0.57,6.42,4.21,80.0
69.99,0.71,28.5,0.23,6.62,0.4,80.0
71.0,0.41,24.48,0.2,5.02,1.4,80.0
72.09,0.46,27.89,0.29,8.03,7.02,80.0
72.96,0.32,19.67,0.07,1.4,4.01,80.0
73.95,0.3,9.63,0.19,1.81,3.81,80.0
74.99,0.59,12.440000000000001,0.5349999999999999,7.625,4.415,80.0
75.99,0.83,15.25,0.88,13.44,5.02,80.0
77.0,0.6,22.27,0.26,5.82,2.01,80.0
78.04,0.46,20.67,0.24,5.02,1.7279999999999998,80.0
78.96,0.25,10.64,0.21,2.21,1.446,80.0
80.07,0.52,13.24,0.62,8.23,1.1640000000000001,80.0
80.99,0.4,13.24,0.15,2.01,0.8820000000000001,80.0
82.01,0.72,18.26,0.29,5.22,0.6,80.0
83.0,0.68,27.09,0.21,5.82,1.0,80.0
84.03,0.3,21.47,0.03,0.6,1.4,80.0
85.02,0.29,9.23,0.07,0.6,1.0,80.0
85.99,0.44,10.43,0.46,4.82,1.2,80.0
87.08,0.29,12.64,0.14,1.81,0.6,80.0
88.01,0.3,11.84,0.29,3.41,3.21,80.0
89.03,1.23,9.63,0.27,2.61,0.4,80.0
90.04,0.69,21.27,0.42,8.83,0.4,80.0
91.0,0.53,27.49,0.16,4.41,0.4,80.0
92.07,0.44,26.49,0.21,5.62,1.4,80.0
93.1,0.5,23.08,0.23,5.22,0.6,80.0
94.13,2.12,15.85,0.25,4.01,1.81,80.0
95.13,0.79,29.1,0.14,4.01,2.01,80.0
96.01,0.24,26.89,0.09,2.41,0.6,80.0
97.07,0.51,5.22,0.54,2.81,3.61,80.0
98.05,0.58,17.26,0.47,8.03,2.61,80.0
99.04,0.5,26.89,0.34,9.23,1.2,80.0
100.09,0.63,30.9,0.18,5.62,1.2,80.0
101.15,0.27,20.47,0.03,0.6,1.61,80.0
102.02,0.27,8.83,0.07,0.6,0.6,80.0
103.06,0.95,9.03,0.2,1.81,1.2,80.0
104.02,0.96,17.66,0.39,6.82,1.0,80.0
105.02,0.5,48.16,0.16,7.83,1.0,80.0
105.99,0.28,35.32,0.1,3.41,0.4,80.0
107.09,0.39,14.65,0.16,2.41,0.8,80.0
108.24,0.36,19.67,0.18,3.61,0.4,80.0
109.01,0.42,5.42,0.19,1.0,0.4,80.0
109.99,0.44,1.61,0.5,0.8,0.4,80.0
110.98,0.74,20.27,0.51,10.43,2.81,80.0
112.02,0.51,25.28,0.27,6.82,0.8,80.0
113.0,0.22,33.71,0.06,2.01,0.6,80.0
114.27,0.33,14.45,0.19,2.81,1.2,80.0
115.07,0.36,25.49,0.15,3.81,1.4,80.0
116.01,0.33,11.24,0.21,2.41,0.8,80.0
117.01,0.43,15.65,0.21,3.21,1.61,80.0
118.02,0.32,6.02,0.07,0.4,0.8,80.0
119.0,0.31,18.06,0.23,4.21,2.81,80.0
120.02,0.21,10.64,0.09,1.0,1.705,80.0
121.13,0.47,15.25,0.28,4.21,0.6,80.0
122.17,0.32,9.63,0.19,1.81,0.6,80.0
123.02,0.3,6.62,0.21,1.4,0.8,80.0
123.99,0.47,7.63,0.47,3.61,1.0,80.0
125.01,0.74,8.03,0.33,2.61,1.0,80.0
126.01,0.36,34.72,0.16,5.42,0.4,80.0
127.01,0.27,7.83,0.15,1.2,1.2,80.0
128.09,0.44,14.25,0.34,4.82,1.2,80.0
129.31,0.36,22.27,0.11,2.41,1.61,80.0
130.0,0.27,15.45,0.12,1.81,0.4,80.0
131.0,0.28,5.62,0.25,1.4,0.8,80.0
131.99,0.18,7.63,0.13,1.0,0.6,80.0
133.05,0.48,8.03,0.35,2.81,1.2,80.0
133.99,0.61,18.06,0.34,6.22,0.8,80.0
135.01,0.64,25.49,0.28,7.22,0.8,80.0
136.15,0.36,18.86,0.05,1.0,0.6,80.0
137.02,0.51,15.25,0.37,5.62,0.8,80.0
138.02,0.63,14.25,0.17,2.41,1.2,80.0
138.98,0.58,24.28,0.26,6.22,0.4,80.0
140.06,0.36,24.88,0.14,3.41,1.0,80.0
140.95,0.23,11.64,0.22,2.61,1.2,80.0
142.09,0.51,9.43,0.38,3.61,0.4,80.0
143.17,0.31,10.43,0.04,0.4,0.4,80.0
144.01,0.61,6.02,0.2,1.2,0.0,80.0
145.02,0.3,6.22,0.29,1.81,0.0,80.0
146.05,0.5,7.22,0.33,2.41,0.0,80.0
147.04,1.48,11.44,0.09,1.0,0.4,80.0
147.97,0.45,13.65,0.09,1.2,0.0,80.0
149.09,0.39,14.85,0.18,2.61,0.0,80.0
150.02,0.27,17.26,0.13,2.21,0.0,80.0
151.0,0.51,12.84,0.2,2.61,0.0,80.0
152.01,0.43,25.08,0.16,4.01,0.4,80.0
153.0,0.26,16.66,0.07,1.2,0.6,80.0
153.98,0.17,17.86,0.09,1.61,0.4,80.0
155.04,0.24,5.02,0.28,1.4,6.42,80.0
156.13,0.29,4.41,0.32,1.4,0.0,80.0
157.19,0.32,8.43,0.19,1.61,0.4,80.0
158.01,0.26,4.41,0.18,0.8,0.2,80.0
159.06,0.31,4.21,0.19,0.8,0.0,80.0
159.99,0.33,0.4,1.0,0.4,1.0,80.0
161.02,0.42,11.84,0.37,4.41,0.4,80.0
162.0,0.39,26.09,0.16,4.21,0.0,80.0
163.34,0.26,28.7,0.13,3.81,0.0,80.0
164.43,0.17,4.41,0.09,0.4,0.0,80.0
164.99,0.34,9.23,0.17,1.61,1.0,80.0
166.03,0.45,11.44,0.28,3.21,0.6,80.0
167.06,0.43,11.44,0.44,5.02,0.0,80.0
168.0,0.37,18.26,0.24,4.41,0.8,80.0
169.0,0.4,18.46,0.18,3.41,0.4,80.0
