time,algae,rotifers,egg-ratio,eggs,dead animals,external medium
0.0,0.73,9.83,0.27,2.61,0.4,80.0
1.0,1.02,8.83,0.36,3.21,0.2,80.0
2.0,1.24,13.24,0.53,7.02,0.0,80.0
3.0,1.18,19.87,0.24,4.82,0.6,80.0
4.0,0.735,18.865000000000002,0.215,4.115,0.7,80.0
5.0,0.29,17.86,0.19,3.41,0.8,80.0
6.0,0.79,12.24,0.95,11.64,1.0,80.0
7.4,0.94,12.64,0.43,5.42,3.41,80.0
8.45,0.5,16.25,0.2,3.21,2.41,80.0
9.36,0.83,12.44,0.23,2.81,0.6,80.0
10.49,0.66,10.03,0.2,2.01,2.01,80.0
11.46,0.69,7.42,0.3,2.21,2.81,80.0
12.38,0.53,7.42,0.22,1.61,1.81,80.0
13.42,0.55,7.22,0.31,2.21,1.0,80.0
14.39,0.24,12.04,0.63,7.63,0.4,80.0
15.38,0.65,14.85,0.26,3.81,0.4,80.0
16.39,0.54,13.24,0.21,2.81,0.2,80.0
17.46,0.37,12.44,0.24,3.01,0.2,80.0
18.47,0.33,12.44,0.21,2.61,0.6,80.0
19.38,0.32,11.64,0.41,4.82,1.0,80.0
20.38,0.61,14.25,0.73,10.43,1.4,80.0
21.39,0.45,23.28,0.28,6.62,0.6,80.0
22.4,0.47,27.89,0.32,8.83,0.2,80.0
23.39,0.35,32.91,0.18,6.02,1.61,80.0
24.52,0.12,24.88,0.07,1.81,0.8,80.0
25.48,0.16,10.64,0.0,0.0,1.0,80.0
26.38,0.29,2.61,0.46,1.2,1.0,80.0
27.41,0.51,4.21,0.19,0.8,0.6,80.0
28.4,0.55,4.01,1.15,4.62,0.8,80.0
29.4,0.57,11.44,0.68,7.83,1.0,80.0
30.39,0.57,15.05,0.48,7.22,0.4,80.0
31.46,0.38,20.27,0.25,5.02,0.6,80.0
32.46,0.22,16.45,0.17,2.81,0.2,80.0
33.42,0.22,9.03,0.29,2.61,0.8,80.0
34.42,0.28,9.63,0.23,2.21,1.0,80.0
35.4,0.31,9.83,0.37,3.61,0.0,80.0
36.4,0.54,15.45,0.58,9.03,0.0,80.0
37.38,0.34,14.85,0.19,2.81,0.4,80.0
38.4,0.33,14.916666666666666,0.19,2.81,1.0033333333333334,80.0
39.4,0.32,14.983333333333334,0.19,2.81,1.606666666666667,80.0
40.4,0.31,15.05,0.19,2.81,2.21,80.0
41.4,0.78,13.44,0.82,11.04,2.01,80.0
42.4,0.71,27.09,0.47,12.84,0.4,80.0
43.4,0.34,24.08,0.15,3.61,1.4,80.0
44.4,0.25,18.46,0.2,3.61,2.61,80.0
45.4,0.29000000000000004,12.440000000000001,0.13,2.005,2.41,80.0
46.4,0.33,6.42,0.06,0.4,2.21,80.0
47.4,0.28,1.4,0.57,0.8,1.2,80.0
48.4,0.22,2.61,0.23,0.6,3.01,80.0
49.4,0.59,5.62,0.79,4.41,0.4,80.0
50.42,0.68,10.64,0.4,4.21,1.0,80.0
51.41,0.5,25.28,0.33,8.43,0.8,80.0
52.4,0.39666666666666667,18.46,0.22000000000000003,5.619999999999999,1.1366666666666667,80.0
53.4,0.29333333333333333,11.64,0.11000000000000001,2.8099999999999996,1.4733333333333334,80.0
54.41,0.19,4.82,0.0,0.0,1.81,80.0
55.4,0.42,1.81,0.0,0.0,0.4,80.0
56.4,0.29,0.6,0.0,0.0,0.2,80.0
57.38,0.29,2.21,0.36,0.8,0.0,80.0
58.4,0.44,4.41,0.73,3.21,0.0,80.0
59.4,0.38,6.953333333333333,0.58,3.276666666666667,0.39999999999999997,80.0
60.4,0.32,9.496666666666666,0.43,3.3433333333333333,0.7999999999999999,80.0
61.38,0.26,12.04,0.28,3.41,1.2,80.0
62.38,0.33,12.24,0.18,2.21,0.8,80.0
63.4,0.325,17.46,0.19,3.415,0.7,80.0
64.38,0.32,22.68,0.2,4.62,0.6,80.0
65.38,0.83,33.51,0.57,19.06,1.4,80.0
66.4,0.6233333333333333,23.276666666666664,0.4033333333333333,12.773333333333333,1.2666666666666666,80.0
67.4,0.41666666666666663,13.043333333333333,0.23666666666666664,6.486666666666666,1.1333333333333333,80.0
68.4,0.21,2.81,0.07,0.2,1.0,80.0
69.4,0.73,2.41,0.58,1.4,5.82,80.0
70.38,0.67,0.6,1.67,1.0,1.61,80.0
71.4,0.64,3.0100000000000002,1.04,1.605,0.805,80.0
72.38,0.61,5.42,0.41,2.21,0.0,80.0
73.54,0.67,3.61,0.5,1.81,0.6,80.0
74.48,0.43,22.07,0.54,11.84,0.2,80.0
75.38,0.86,25.28,0.6,15.05,0.6,80.0
76.41,0.81,34.11,0.37,12.64,0.4,80.0
77.4,0.75,37.73,0.39,14.65,0.2,80.0
78.4,0.62,55.59,0.28,15.65,0.4,80.0
79.4,0.25,40.74,0.13,5.42,3.61,80.0
80.41,0.3,11.64,0.16,1.81,6.02,80.0
81.34,0.18,10.03,0.18,1.81,4.41,80.0
82.4,0.15,8.23,0.02,0.2,2.81,80.0
83.39,0.22,2.81,0.43,1.2,1.0,80.0
84.51,0.34,6.42,0.72,4.62,0.8,80.0
85.43,1.6,9.03,0.31,2.81,0.6,80.0
