time,algae,rotifers,egg-ratio,eggs,dead animals,external medium
0.0,2.83,11.04,0.67,7.42,0.4,160.0
0.89,2.31,28.9,0.56,16.25,0.0,0.0
1.94,1.14,36.72,0.22,8.23,0.6,0.0
2.92,0.44,22.27,0.07,1.61,1.0,0.0
3.91,0.13,8.23,0.0,0.0,0.6,0.0
4.97,0.15,1.61,0.0,0.0,1.2,160.0
6.03,0.08,0.0,0.0,0.0,0.0,160.0
6.89,0.69,0.0,0.0,0.0,0.0,160.0
7.93,4.17,0.0,0.0,0.2,0.0,160.0
8.9,4.75,0.0,0.0,0.0,0.0,0.0
9.9,3.14,0.0,0.0,1.0,0.0,0.0
10.87,2.52,0.0,0.0,0.0,0.0,0.0
11.97,1.74,0.0,0.0,0.0,0.0,0.0
13.11,0.98,0.8,0.0,0.0,0.0,160.0
13.89,0.48,0.4,0.0,0.0,0.0,160.0
14.86,1.78,0.0,0.0,0.0,0.0,160.0
15.86,2.63,0.6,0.0,0.0,0.0,160.0
16.9,3.34,1.61,0.38,0.6,0.0,0.0
17.88,3.26,2.01,0.4,0.8,0.0,0.0
19.14,0.38,6.82,0.18,1.2,0.0,0.0
19.95,1.02,2.21,0.55,1.2,0.0,0.0
20.89,0.39,3.41,0.06,0.2,0.0,160.0
21.89,0.16,2.01,0.0,0.0,0.0,160.0
22.9,0.57,0.0,0.095,0.0,0.0,160.0
23.87,1.37,4.21,0.19,0.8,0.2,160.0
24.9,2.7,0.4,0.0,0.0,0.0,0.0
26.0,3.1,17.86,0.43,7.63,0.2,0.0
27.05,1.44,17.26,0.19,3.21,0.2,0.0
27.9,0.52,21.07,0.05,1.0,0.0,0.0
28.86,0.2,2.21,0.18,0.4,0.4,160.0
29.89,0.12,3.41,0.06,0.2,0.2,160.0
30.89,0.27,4.01,0.0,0.0,1.2,160.0
31.88,1.91,1.2,1.0,1.2,0.4,160.0
32.97,3.48,1.81,1.0,1.81,0.4,0.0
34.19,3.56,3.21,0.75,2.41,0.2,0.0
34.87,2.44,7.22,0.44,3.21,0.0,0.0
35.88,1.02,16.86,0.43,7.22,0.6,0.0
36.86,0.45,16.25,0.22,3.61,0.4,160.0
37.93,0.15,7.63,0.05,0.4,2.01,160.0
38.86,0.21,2.41,1.0,2.41,1.61,160.0
39.89,1.97,3.01,0.2,0.6,2.41,160.0
41.02,2.52,9.43,0.09,0.8,1.4,0.0
41.9,3.03,14.45,0.33,4.82,1.0,0.0
42.89,2.01,30.3,0.17,5.22,0.8,0.0
43.86,0.77,23.08,0.09,2.01,0.6,0.0
44.93,0.27,10.64,0.09,1.0,4.21,160.0
45.82,0.1,2.61,0.0,0.0,1.61,160.0
46.97,0.31,1.61,0.0,0.0,0.0,160.0
48.05,1.27,3.41,0.18,0.6,0.4,160.0
