time,algae,rotifers,egg-ratio,eggs,dead animals,external medium
0.0,2.03,6.82,0.06,0.4,0.2,80.0
1.0,1.39,1.61,0.5,0.8,0.2,80.0
2.0,0.65,5.22,0.92,4.82,0.4,80.0
3.0,0.6,16.05,0.38,6.02,0.4,80.0
4.0,0.29,10.23,0.18,1.81,0.4,80.0
5.0,0.25,9.43,0.06,0.6,0.4,80.0
6.0,0.33,6.82,0.21,1.4,0.2,80.0
7.0,2.19,9.83,0.43,4.21,0.2,80.0
8.0,0.84,12.84,0.34,4.41,0.2,80.0
9.0,0.28,12.24,0.18,2.21,0.4,80.0
10.0,0.58,7.42,0.62,4.62,0.0,80.0
11.0,0.8,14.25,0.34,4.82,0.6,80.0
12.0,0.65,17.26,0.27,4.62,0.8,80.0
13.0,0.52,15.25,0.22,3.41,0.4,80.0
14.0,0.71,13.24,0.26,3.41,0.4,80.0
15.0,1.0,21.67,0.35,7.63,0.6,80.0
16.0,0.38,19.06,0.11,2.01,0.2,80.0
17.0,0.63,15.45,0.36,5.62,1.2,80.0
18.0,0.73,16.25,0.28,4.62,0.4,80.0
19.0,0.55,18.66,0.24,4.41,0.8,80.0
20.0,0.27,15.85,0.09,1.4,0.6,80.0
21.0,0.76,14.05,0.57,8.03,0.4,80.0
22.0,1.29,15.85,0.38,6.02,0.2,80.0
23.0,0.35,36.92,0.1,3.81,0.6,80.0
24.0,0.42,19.26,0.19,3.61,0.4,80.0
25.0,0.94,9.63,0.21,2.01,1.0,80.0
26.0,1.03,28.09,0.41,11.64,1.2,80.0
27.0,0.77,13.44,0.46,6.22,0.0,80.0
28.0,0.48,23.28,0.17,4.01,0.6,80.0
29.0,0.64,25.08,0.29,7.22,0.8,80.0
30.0,0.88,12.84,0.19,2.41,1.2,80.0
31.0,0.83,14.65,0.29,4.21,1.0,80.0
32.0,0.7,25.28,0.24,6.02,0.4,80.0
33.0,0.42,24.28,0.12,2.81,0.0,80.0
34.0,0.62,12.44,0.31,3.81,0.6,80.0
35.0,0.95,18.66,0.35,6.62,0.4,80.0
36.0,0.83,50.37,0.19,9.63,0.6,80.0
37.0,0.29,27.29,0.15,4.21,0.8,80.0
38.0,0.28,23.08,0.05,1.2,1.2,80.0
39.0,0.53,10.84,0.24,2.61,1.2,80.0
40.0,1.21,4.82,0.92,4.41,0.4,80.0
41.0,1.07,13.44,0.45,6.02,0.4,80.0
42.0,0.45,18.46,0.05,1.0,0.4,80.0
43.0,0.59,26.49,0.25,6.62,0.6,80.0
44.0,0.41,23.08,0.06,1.4,0.4,80.0
45.0,0.62,20.27,0.34,6.82,0.8,80.0
46.0,1.16,28.29,0.45,12.84,0.8,80.0
47.0,0.5,35.32,0.11,4.01,0.6,80.0
48.0,0.31,7.63,0.11,0.8,0.4,80.0
49.0,0.63,7.42,0.73,5.42,0.4,80.0
50.0,1.2,18.46,0.57,10.43,0.2,80.0
51.0,0.75,35.52,0.21,7.63,0.4,80.0
52.0,0.37,31.51,0.1,3.01,0.2,80.0
53.0,0.61,25.69,0.05,1.4,0.4,80.0
54.0,0.71,15.25,0.3,4.62,0.8,80.0
55.0,0.51,13.65,0.19,2.61,0.4,80.0
56.0,0.49,15.45,0.25,3.81,0.0,80.0
57.0,0.55,16.66,0.28,4.62,0.0,80.0
58.0,0.74,26.69,0.21,5.62,0.8,80.0
59.0,0.6,27.89,0.25,7.02,0.2,80.0
60.0,0.5,27.29,0.24,6.42,0.6,80.0
61.0,0.57,24.28,0.27,6.62,1.61,80.0
62.0,0.52,20.67,0.31,6.42,0.6,80.0
63.0,0.54,18.46,0.4,7.42,0.4,80.0
64.0,1.04,27.09,0.56,15.05,0.6,80.0
65.0,0.81,23.28,0.04,1.0,0.4,80.0
66.0,0.54,21.47,0.19,4.01,0.0,80.0
67.0,1.0,17.46,0.32,5.62,0.2,80.0
68.0,0.66,18.06,0.13,2.41,0.6,80.0
69.0,0.48,12.24,0.18,2.21,0.6,80.0
70.0,0.43,12.04,0.18,2.21,0.4,80.0
71.0,0.73,21.67,0.4,8.63,0.4,80.0
72.0,0.67,24.08,0.28,6.82,0.8,80.0
73.0,0.94,28.29,0.37,10.43,0.8,80.0
74.0,0.23,31.51,0.08,2.61,0.8,80.0
75.0,0.24,12.64,0.03,0.4,2.01,80.0
76.0,0.31,8.83,0.18,1.61,0.6,80.0
77.0,0.47,11.64,0.47,5.42,0.8,80.0
78.0,0.53,25.69,0.3,7.83,0.8,80.0
79.0,0.56,14.85,0.36,5.42,0.2,80.0
80.0,1.05,14.65,0.34,5.02,0.4,80.0
81.0,0.78,32.51,0.38,12.24,0.8,80.0
82.0,0.44,26.09,0.16,4.21,0.4,80.0
83.0,0.3,9.63,0.15,1.4,0.4,80.0
84.0,0.35,7.02,0.77,5.42,0.6,80.0
85.0,0.42,5.42,0.52,2.81,0.6,80.0
86.0,0.81,8.03,0.9,7.22,0.0,80.0
87.0,0.43,24.08,0.33,8.03,0.4,80.0
88.0,0.78,18.86,0.84,15.85,0.2,80.0
89.0,0.41,23.88,0.25,6.02,0.8,80.0
90.0,0.57,22.27,0.37,8.23,0.6,80.0
91.0,0.45,20.47,0.4,8.23,0.0,80.0
92.0,0.67,12.04,0.5,6.02,0.0,80.0
93.0,0.62,11.24,0.45,5.02,0.4,80.0
94.0,0.47,15.05,1.0,15.05,0.2,80.0
95.0,0.41,22.48,0.43,9.63,0.0,80.0
