time,algae,rotifers,egg-ratio,eggs,dead animals,external medium
0.0,1.54,11.04,0.02,0.2,0.0,80.0
0.94,1.65,7.02,0.49,3.41,0.8,80.0
2.2,1.51,10.03,0.74,7.42,1.61,80.0
3.15,1.07,20.67,1.01,20.87,1.81,80.0
4.1,0.46,32.31,0.22,7.22,4.21,80.0
4.97,0.36,14.45,0.35,5.02,5.22,80.0
5.94,0.95,14.05,0.67,9.43,2.01,80.0
6.99,1.22,18.06,0.92,16.66,1.61,80.0
7.98,0.69,30.3,0.37,11.24,0.8,80.0
9.01,0.25,13.65,0.18,2.41,2.61,80.0
9.95,0.49,11.44,0.4,4.62,2.81,80.0
11.1,1.11,12.04,0.37,4.41,0.4,80.0
12.01,1.18,14.05,0.56,7.83,0.4,80.0
12.97,0.91,22.68,0.52,11.84,0.6,80.0
13.95,0.34,25.89,0.18,4.62,0.8,80.0
14.98,0.29,12.24,0.48,5.82,1.2,80.0
16.0,0.58,16.86,0.36,6.02,0.0,80.0
17.17,1.37,17.26,0.53,9.23,2.41,80.0
18.07,0.7,30.3,0.34,10.43,5.22,80.0
18.98,0.25,23.48,0.09,2.21,2.81,80.0
20.07,0.58,9.43,0.62,5.82,1.61,80.0
21.0,0.7,11.04,0.67,7.42,3.21,80.0
21.94,0.76,13.24,0.73,9.63,1.2,80.0
22.95,1.0,13.04,0.4,5.22,3.01,80.0
24.17,0.98,14.85,0.59,8.83,2.41,80.0
24.94,0.85,18.06,0.17,3.01,2.81,80.0
25.94,1.13,15.45,0.32,5.02,1.0,80.0
26.98,1.46,10.64,0.58,6.22,2.21,80.0
27.98,1.57,17.86,0.47,8.43,1.61,80.0
28.95,1.49,23.68,0.24,5.62,0.2,80.0
30.09,0.63,34.31,0.28,9.63,3.41,80.0
31.17,0.54,15.65,0.27,4.21,1.61,80.0
32.37,0.7,23.48,0.41,9.63,1.4,80.0
32.98,0.84,29.9,0.65,19.47,3.41,80.0
33.95,0.99,33.91,0.62,21.07,3.01,80.0
34.97,1.91,54.98,0.62,34.11,5.82,80.0
36.0,0.38,53.18,0.16,8.43,4.62,80.0
37.02,0.17,52.58,0.02,1.2,3.81,80.0
38.0,0.15,11.64,0.1,1.2,5.22,80.0
39.03,0.72,9.23,0.22,2.01,2.21,80.0
39.94,0.56,7.83,0.69,5.42,1.61,80.0
40.95,1.28,9.03,0.56,5.02,2.01,80.0
41.94,1.04,14.85,0.68,10.03,1.0,80.0
42.97,1.15,25.69,0.66,17.06,1.0,80.0
44.12,0.54,34.31,0.23,8.03,2.01,80.0
45.08,0.4,26.89,0.25,6.82,1.2,80.0
46.12,0.5,17.66,0.13,2.21,1.0,80.0
47.13,1.11,14.65,1.01,14.85,1.61,80.0
47.97,1.0,17.06,0.81,13.85,1.2,80.0
